:Issued: Sat Jul  5 07:33:10 2025
:Product: CACTus catalogue (http://sidc.be/cactus)
#----------------------------------------------------------------------
# Instrument: LASCO| Detector: c2 # Instrument: LASCO| Detector: c3
# Threshold : 0.30 | Factor : 2 | Minimal CME width: 5
# 
  first c2: 2025/06/29  00:00:07.439 23849138.fts
  last  c2: 2025/07/05  05:48:07.817 23849843.fts
  first c3: 2025/06/29  03:30:07.389 33837207.fts
  last  c3: 2025/07/05  05:42:07.422 33837897.fts
# 
#----------------------------------------------------------------------
# Output: Detected cmemap with the following characteristics:
# 
#    CME: CME number 
#   Flow: Flow number. Flows are suspicious detections, their color in the detectionmap is dark blue
#     t0: onset time, earliest indication of liftoff
#    dt0: duration of liftoff (hours)
#     pa: principal angle, counterclockwise from North (degrees)
#     da: angular width (degrees), 
#      v: median velocity (km/s)
#     dv: variation (1 sigma) of velocity over the width of the CME
#   minv: lowest velocity detected within the CME
#   maxv: highest velocity detected within the CME
#  halo?: II if da>90, III if da>180, IV if da>270, indicating potential halo/partial halo CME
# 
# CME |          t0    | dt0| pa | da |  v  |  dv | minv| maxv| halo?
  0029|2025/07/05 01:24| 01 | 014| 014| 0418| 0149| 0369| 0694|    
  0028|2025/07/04 21:24| 01 | 191| 008| 0298| 0189| 0227| 0664|    
  0027|2025/07/04 20:12| 00 | 245| 008| 0762| 0155| 0686| 1059|    
  0026|2025/07/04 18:24| 02 | 187| 008| 0378| 0005| 0376| 0387|    
  0025|2025/07/04 14:12| 08 | 159| 056| 0189| 0030| 0171| 0280|    
  0024|2025/07/04 14:12| 05 | 018| 062| 0385| 0076| 0278| 0548|    
  0023|2025/07/04 13:36| 01 | 112| 010| 0876| 0398| 0589| 1644|    
  0022|2025/07/04 11:48| 01 | 162| 006| 0220| 0671| 0166| 1562|    
  0021|2025/07/04 06:24| 02 | 024| 006| 0391| 0120| 0172| 0452|    
  0020|2025/07/03 21:24| 01 | 295| 008| 0182| 0007| 0169| 0184|    
  0019|2025/07/03 17:45| 05 | 293| 024| 0249| 0182| 0171| 0593|    
  0018|2025/07/03 08:44| 05 | 064| 118| 0254| 0269| 0166| 1358|  II
  0017|2025/07/03 07:08| 05 | 264| 114| 0469| 0162| 0209| 1116|  II
  0016|2025/07/03 02:56| 01 | 266| 014| 0351| 0819| 0151| 1953|    
  0015|2025/07/03 02:32| 01 | 010| 018| 0302| 0064| 0198| 0377|    
  0014|2025/07/02 21:56| 01 | 235| 024| 0215| 0184| 0134| 0686|    
  0013|2025/07/02 19:44| 04 | 276| 014| 0149| 0046| 0106| 0225|    
  0012|2025/07/02 19:44| 02 | 228| 006| 0162| 0046| 0114| 0230|    
  0011|2025/07/02 19:08| 01 | 270| 018| 0205| 0113| 0106| 0487|    
  0010|2025/07/02 15:00| 04 | 223| 008| 0104| 0003| 0101| 0109|    
  0009|2025/07/02 07:48| 04 | 217| 008| 0101| 0001| 0099| 0103|    
  0008|2025/07/02 03:00| 01 | 212| 010| 0129| 0095| 0101| 0340|    
  0007|2025/07/02 01:48| 01 | 209| 012| 0198| 0565| 0102| 1249|    
  0006|2025/07/02 00:12| 00 | 113| 036| 0516| 0080| 0431| 0694|    
  0005|2025/07/01 20:12| 01 | 357| 016| 0363| 0068| 0306| 0484|    
  0004|2025/06/30 12:36| 01 | 357| 008| 0322| 0128| 0230| 0578|    
  0003|2025/06/30 11:48| 00 | 053| 020| 0286| 0051| 0208| 0372|    
  0002|2025/06/30 11:36| 02 | 014| 006| 0414| 0078| 0328| 0520|    
  0001|2025/06/30 11:00| 04 | 350| 050| 0425| 0182| 0106| 0741|    
 
# Flow|          t0    | dt0| pa | da |  v  |  dv | minv| maxv| halo?
  0010|2025/07/05 00:36| 01 | 172| 010| 1895| 0083| 1735| 1953|    
  0009|2025/07/04 23:36| 00 | 009| 008| 0269| 0025| 0244| 0310|    
  0008|2025/07/04 20:36| 02 | 015| 016| 0283| 0080| 0191| 0433|    
  0007|2025/07/04 18:48| 01 | 008| 006| 0644| 0066| 0529| 0657|    
  0006|2025/07/03 11:32| 01 | 281| 016| 0315| 0053| 0227| 0349|    
  0005|2025/07/03 10:26| 01 | 341| 020| 0453| 0166| 0355| 0890|    
  0004|2025/07/03 09:56| 01 | 159| 024| 1952| 0000| 1952| 1952|    
  0003|2025/07/03 04:56| 00 | 260| 014| 0338| 0653| 0117| 1953|    
  0002|2025/07/02 11:12| 01 | 220| 006| 0110| 0007| 0102| 0117|    
  0001|2025/07/02 04:12| 00 | 213| 008| 0105| 0000| 0105| 0105|    
